==21767== NVPROF is profiling process 21767, command: ./kmeans -i ../data/data_3d_ind.txt
==21767== Warning: Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==21767== Profiling application: ./kmeans -i ../data/data_3d_ind.txt
Device: Tesla K40c
CPU Elapsed Time : 0.919000 ms
GPU Elapsed Time : 3816.992920 ms
==21767== Profiling result:
==21767== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"nc_gld_efficiency","Non-Coherent Global Load Efficiency",15.969482%,15.969482%,15.969482%
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"l2_atomic_throughput","L2 Throughput (Atomic requests)",251.572039MB/s,251.572039MB/s,251.572039MB/s
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"inst_fp_32","FP Instructions(Single)",39136,39136,39136
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"inst_fp_64","FP Instructions(Double)",0,0,0
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"inst_integer","Integer Instructions",165126,165126,165126
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"inst_bit_convert","Bit-Convert Instructions",15,15,15
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"inst_control","Control-Flow Instructions",48924,48924,48924
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"inst_compute_ld_st","Load/Store Instructions",142635,142635,142635
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"inst_misc","Misc Instructions",94568,94568,94568
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"inst_inter_thread_communication","Inter-Thread Instructions",0,0,0
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"atomic_replay_overhead","Atomic Replay Overhead",0.017451,0.017451,0.017451
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"atomic_transactions","Atomic Transactions",1712,1712,1712
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"atomic_transactions_per_request","Atomic Transactions Per Request",4.933718,4.933718,4.933718
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"l2_l1_read_transactions","L2 Read Transactions (L1 read requests)",798,798,798
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"l2_l1_write_transactions","L2 Write Transactions (L1 write requests)",863,863,863
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"l2_tex_read_transactions","L2 Transactions (Texture Reads)",845,845,845
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"l2_l1_write_throughput","L2 Throughput (L1 Writes)",158.010676MB/s,158.010676MB/s,158.010676MB/s
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"l2_atomic_transactions","L2 Transactions (Atomic requests)",2748,2748,2748
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"ecc_transactions","ECC Transactions",0,0,0
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"ecc_throughput","ECC Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"stall_pipe_busy","Issue Stall Reasons (Pipe Busy)",0.386449%,0.386449%,0.386449%
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"stall_constant_memory_dependency","Issue Stall Reasons (Immediate constant)",2.518295%,2.518295%,2.518295%
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"flop_sp_efficiency","FLOP Efficiency(Peak Single)",0.006571%,0.006571%,0.006571%
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"flop_dp_efficiency","FLOP Efficiency(Peak Double)",0.000000%,0.000000%,0.000000%
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"stall_memory_throttle","Issue Stall Reasons (Memory Throttle)",1.681959%,1.681959%,1.681959%
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"stall_not_selected","Issue Stall Reasons (Not Selected)",0.523241%,0.523241%,0.523241%
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"eligible_warps_per_cycle","Eligible Warps Per Active Cycle",0.194131,0.194131,0.194131
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"atomic_throughput","Atomic Throughput",1.253832GB/s,1.253832GB/s,1.253832GB/s
==21767== Warning: One or more events or metrics can't be profiled. Rerun with "--print-gpu-trace" for detail.
